697    18       17     8.0885889e-03 0.1597329
  0.96608E+03 0.16337E+02 0.10783E+00 0.17877E+03 0.29029E+02 0.36902E+01
  0.96673E+03 0.17466E+02 0.11274E+00 0.18632E+03 0.29973E+02 0.38384E+01
  0.96738E+03 0.15405E+02 0.11178E+00 0.19241E+03 0.30964E+02 0.38616E+01
  0.96804E+03 0.14507E+02 0.10807E+00 0.19875E+03 0.31960E+02 0.38073E+01
  0.96870E+03 0.12672E+02 0.10328E+00 0.20551E+03 0.32934E+02 0.37326E+01
  0.96935E+03 0.11846E+02 0.98829E-01 0.21034E+03 0.33884E+02 0.36772E+01
  0.97001E+03 0.11537E+02 0.96034E-01 0.21501E+03 0.34878E+02 0.36668E+01
  0.97067E+03 0.12381E+02 0.93254E-01 0.22323E+03 0.35961E+02 0.36401E+01
  0.97133E+03 0.10281E+02 0.88532E-01 0.23017E+03 0.37135E+02 0.35659E+01
  0.97199E+03 0.69326E+01 0.85586E-01 0.23800E+03 0.38372E+02 0.35591E+01
  0.97265E+03 0.84562E+01 0.91172E-01 0.24610E+03 0.39648E+02 0.37457E+01
  0.97332E+03 0.11246E+02 0.10461E+00 0.25421E+03 0.40958E+02 0.41363E+01
  0.97398E+03 0.15772E+02 0.12107E+00 0.26183E+03 0.42348E+02 0.45961E+01
  0.97464E+03 0.19378E+02 0.13488E+00 0.27032E+03 0.43898E+02 0.49765E+01
  0.97531E+03 0.18218E+02 0.14532E+00 0.28168E+03 0.45645E+02 0.53233E+01
  0.97598E+03 0.22031E+02 0.15560E+00 0.29432E+03 0.47567E+02 0.56320E+01
  0.97664E+03 0.23217E+02 0.16294E+00 0.30973E+03 0.49509E+02 0.58920E+01
  0.97731E+03 0.21532E+02 0.16837E+00 0.32001E+03 0.51364E+02 0.61487E+01
  0.97798E+03 0.27334E+02 0.17219E+00 0.32937E+03 0.53175E+02 0.63065E+01
  0.97865E+03 0.24886E+02 0.16835E+00 0.34055E+03 0.55068E+02 0.63301E+01
  0.97932E+03 0.21511E+02 0.15762E+00 0.35031E+03 0.57215E+02 0.62058E+01
