        697    18       17     1.5967e-03 6.31369e-03
  0.10996E+04 0.25265E-03 0.84569E-06 0.84988E+01 0.60787E-01 0.14340E-01
  0.11004E+04 0.28808E-03 0.96282E-06 0.89177E+01 0.63144E-01 0.14957E-01
  0.11013E+04 0.32834E-03 0.10958E-05 0.94766E+01 0.65928E-01 0.15732E-01
  0.11021E+04 0.37429E-03 0.12469E-05 0.10146E+02 0.69039E-01 0.16632E-01
  0.11030E+04 0.42692E-03 0.14185E-05 0.10879E+02 0.72335E-01 0.17604E-01
  0.11038E+04 0.48735E-03 0.16134E-05 0.11618E+02 0.75664E-01 0.18588E-01
  0.11047E+04 0.55680E-03 0.18346E-05 0.12304E+02 0.78878E-01 0.19519E-01
  0.11055E+04 0.63659E-03 0.20859E-05 0.12886E+02 0.81855E-01 0.20346E-01
  0.11064E+04 0.72808E-03 0.23712E-05 0.13334E+02 0.84528E-01 0.21037E-01
  0.11072E+04 0.83290E-03 0.26951E-05 0.13642E+02 0.86917E-01 0.21587E-01
  0.11081E+04 0.95260E-03 0.30630E-05 0.13832E+02 0.89075E-01 0.22018E-01
  0.11090E+04 0.10891E-02 0.34806E-05 0.13949E+02 0.91132E-01 0.22378E-01
  0.11098E+04 0.12448E-02 0.39547E-05 0.14054E+02 0.93250E-01 0.22733E-01
  0.11107E+04 0.14222E-02 0.44929E-05 0.14218E+02 0.95598E-01 0.23156E-01
  0.11116E+04 0.16243E-02 0.51040E-05 0.14504E+02 0.98311E-01 0.23713E-01
  0.11124E+04 0.18548E-02 0.57975E-05 0.14962E+02 0.10148E+00 0.24449E-01
  0.11133E+04 0.21180E-02 0.65849E-05 0.15608E+02 0.10511E+00 0.25383E-01
  0.11142E+04 0.24187E-02 0.74784E-05 0.16427E+02 0.10912E+00 0.26494E-01
  0.11150E+04 0.27627E-02 0.84927E-05 0.17370E+02 0.11335E+00 0.27728E-01
  0.11159E+04 0.31561E-02 0.96444E-05 0.18358E+02 0.11760E+00 0.29002E-01
  0.11168E+04 0.36063E-02 0.10951E-04 0.19303E+02 0.12160E+00 0.30221E-01
  0.11176E+04 0.41212E-02 0.12434E-04 0.20114E+02 0.12515E+00 0.31287E-01
  0.11185E+04 0.47101E-02 0.14116E-04 0.20713E+02 0.12805E+00 0.32123E-01
  0.11194E+04 0.53829E-02 0.16026E-04 0.21056E+02 0.13024E+00 0.32683E-01
  0.11203E+04 0.61516E-02 0.18193E-04 0.21136E+02 0.13172E+00 0.32963E-01
  0.11212E+04 0.70291E-02 0.20652E-04 0.20993E+02 0.13262E+00 0.33005E-01
  0.11220E+04 0.80319E-02 0.23441E-04 0.20704E+02 0.13317E+00 0.32893E-01
  0.11229E+04 0.91761E-02 0.26606E-04 0.20378E+02 0.13360E+00 0.32736E-01
  0.11238E+04 0.10483E-01 0.30196E-04 0.20126E+02 0.13416E+00 0.32645E-01
  0.11247E+04 0.11975E-01 0.34270E-04 0.20044E+02 0.13505E+00 0.32712E-01
  0.11256E+04 0.13681E-01 0.38890E-04 0.20175E+02 0.13638E+00 0.32987E-01
  0.11265E+04 0.15629E-01 0.44132E-04 0.20507E+02 0.13814E+00 0.33466E-01
  0.11273E+04 0.17856E-01 0.50077E-04 0.20977E+02 0.14028E+00 0.34099E-01
  0.11282E+04 0.20401E-01 0.56820E-04 0.21481E+02 0.14269E+00 0.34813E-01
  0.11291E+04 0.23310E-01 0.64467E-04 0.21926E+02 0.14534E+00 0.35541E-01
  0.11300E+04 0.26635E-01 0.73140E-04 0.22276E+02 0.14824E+00 0.36259E-01
